Words		# of Occurances
Animal-Tamers		1632
Animal.		4896
Animal;		1632
Animalia		1632
Animalised		1632
Animalising		1632
Animalism		6528
Animals		16320
Animals,		8160
Animals,--Triumphs		1632
Animals--Which		1632
Animals.		3264
Animals;		3264
Animated		3264
Animosities.		1632
Ankles,		1632
Annoying		1632
Another		78336
Another,		8160
Another.		17952
Another;		3264
Answer		6528
Answer,		1632
Answer.		1632
Answered		9792
Answered,		1632
Answered.		3264
Answering		1632
Antagonist		1632
Anticipate		1632
Anticipating		1632
Antiseptic		3264
Anxious		8160
Any		60384
Anyhow		1632
Anyhow,		3264
Anyhow,"		1632
Anything		22848
Anything.		1632
Anywhere.		1632
Apart		1632
Apartment,		1632
Apartment;		1632
Ape		1632
Ape-Like		1632
Ape-Man		14688
Ape-Man's		1632
Ape-Man,		14688
Ape-Man,--"None		1632
Ape-Man.		11424
Ape-Man:		1632
Aperture		6528
Apes.		1632
Apia		1632
Apologetically,		1632
Apologise		1632
Appalling		1632
Appalling.		1632
Apparently		4896
Apparition		1632
Apparition.		1632
Appeal		1632
Appealed		3264
Appealed.		1632
Appeals		1632
Appearance		3264
Appearance,		3264
Appeared		17952
Appeared,		6528
Appeared,--Strange		1632
Appeared,--Until		1632
Appeared.		3264
Appearing		1632
Appetising		1632
Appetite.		1632
Application--"		1632
Application.		1632
Approach		8160
Approach,		1632
Approach.		4896
Approached		4896
Approached,		3264
Approached.		1632
Approaching		4896
Approaching.		1632
Appropriate,		1632
Ardour,		1632
Are		89760
Are,"		1632
Are.		4896
Are?"		1632
Area		3264
Area,		1632
Aren't		1632
Arica		3264
Arica,		1632
Arica.		1632
Arise		1632
Arm		22848
Arm's		3264
Arm,		3264
Arm.		13056
Arm;		3264
Armed		1632
Armed;		1632
Armpits		1632
Arms		4896
Arms,		1632
Arms;		1632
Arose.		1632
Around		6528
Aroused		3264
Aroused,		1632
Arrant		1632
Array		1632
Arrested		3264
Arrival,		3264
Arrival.		1632
Arrival;		1632
Arrive		3264
Art		3264
Art,		1632
Article		1632
Articulation		1632
Articulation,		3264
Articulations		1632
Artificial		1632
Artistic		3264
As		414528
Ascent		1632
Ascertain		1632
Ascertain.		1632
Ash		1632
Ashamed		3264
Ashamed;		1632
Ashes		1632
Ashore,		1632
Ashore.		1632
Ashore."		3264
Aside		9792
Aside,		1632
Aside.		3264
Ask		4896
Askance		3264
Asked		19584
Asked.		6528
Asked;		1632
Askew.		6528
Asking		3264
Asking,		1632
Asleep.		1632
Aspect		3264
Ass		8160
Ass!		3264
Ass,		3264
Ass,"		1632
Ass.		1632
Assaulting		1632
Assembled		1632
Assembly,		1632
Assert		1632
Assertion:		1632
Assertions,		1632
Asses		3264
Assistance		1632
Assistance,		3264
Assistance.		1632
Assisted		1632
Assisting		1632
Assisting.		1632
Assortment		1632
Assume		1632
Assumed		3264
Assumed,		1632
Assurance		1632
Assurance.		1632
Assurance;		1632
Assure		3264
Assured		4896
Assured,		1632
Assured,--But		1632
Astonished		6528
Astonishing		1632
Astonishment		1632
Astride		1632
Astronomy.		1632
At		556512
Ate		1632
Atheist,		1632
Atmosphere		3264
Attachment		1632
Attack		6528
Attack.		1632
Attacked		3264
Attained--It		1632
Attempt		4896
Attempted		8160
Attempting		3264
Attempts		1632
Attendant		8160
Attendant,		4896
Attendant,--For		1632
Attendant.		3264
Attention		6528
Attention,		4896
Attention.		1632
Attenuated		1632
Attitude		6528
Attitude,		1632
Attitude.		3264
Attitudes		1632
Attract		1632
Attracted		1632
Audible		1632
Audience.		1632
Auditory		1632
Augury		1632
August,		1632
Authority		3264
Avenue		1632
Average		1632
Avert		1632
Averted.		1632
Avoid		6528
Avoided		4896
Await		1632
Awaiting		1632
Awakening.		1632
Aware		6528
Away		55488
Away!"		1632
Away,		6528
Away,"		3264
Away.		22848
Away?		1632
Awestricken		1632
Awful		4896
Awhile		1632
Awkward		1632
Awkwardly		1632
Awoke		1632
Awoke,		3264
Axe		1632
Axes		3264
Baby?"		1632
Back		104448
Back,		16320
Back,--Coming		1632
Back.		3264
Backbone		3264
Backbone.		1632
Background		1632
Backs		3264
Backwards		1632
Bad		6528
Bad,"		3264
Bad.		1632
Bad."		1632
Badly,		1632
Balance		1632
Balance.		1632
Bales		1632
Baling.		1632
Band		3264
Band,		1632
Bandaged		3264
Bandaged,		1632
Bandaged;		1632
Bandages		1632
Bandages,		1632
Bandages.		1632
Bandagings		1632
Bane,		1632
Bank		8160
Bank,		1632
Banks		1632
Bar		4896
Bare		6528
